,MABTree Random,MABTree UCB,MABTree 0.1-greedy,MABTree 0.1-greedy MF,0.1-greedy,UCB,LinUCB
0,0.8084123638918159,0.39281700035124695,0.3349139445029856,0.7282578152441167,0.32952230417983847,0.4430453108535301,0.4869336143308746
1,0.8063048823322797,0.39281700035124695,0.3370916754478398,0.7253951527924131,0.33177028451001056,0.4430453108535301,0.4869336143308746
2,0.808710923779417,0.39281700035124695,0.335230066736916,0.7401299613628382,0.33189322093431683,0.4430453108535301,0.4869336143308746
3,0.8097822269055146,0.39281700035124695,0.33603793466807164,0.7315419740077275,0.33159466104671587,0.4430453108535301,0.4869336143308746
4,0.8095187917105725,0.39281700035124695,0.3373902353354408,0.716157358623112,0.3333508956796628,0.4430453108535301,0.4869336143308746
5,0.8085001756234633,0.39281700035124695,0.33572181243414123,0.712644889357218,0.33001404987706356,0.4430453108535301,0.4869336143308746
6,0.8083596768528276,0.39281700035124695,0.336687741482262,0.7329293993677555,0.32987355110642785,0.4430453108535301,0.4869336143308746
7,0.8059536354056902,0.39281700035124695,0.33442219880576046,0.7127678257815245,0.33206884439761153,0.4430453108535301,0.4869336143308746
8,0.808710923779417,0.39281700035124695,0.3364067439409905,0.7220407446434844,0.32957499121882683,0.4430453108535301,0.4869336143308746
9,0.8093431682472779,0.39281700035124695,0.3371443624868282,0.7326308394801545,0.3299086757990868,0.4430453108535301,0.4869336143308746
