,MABTree Random,MABTree UCB,MABTree 0.1-greedy,MABTree 0.1-greedy MF,0.1-greedy,UCB,LinUCB
0,4.660346042113287,4.003464123282569,2.7210201828993084,4.173156976752067,2.6302679196794605,4.109575445853044,4.007061422617358
1,4.656253603463298,4.003464123282569,2.741045888350957,4.196786438659125,2.6351422768522803,4.109575445853044,4.007061422617358
2,4.656587237541206,4.003464123282569,2.7202163753235147,4.244790998123166,2.601789374512709,4.109575445853044,4.007061422617358
3,4.6578815301454854,4.003464123282569,2.708072602699298,4.206143125812562,2.5884708240687218,4.109575445853044,4.007061422617358
4,4.6556675895446835,4.003464123282569,2.714915436130332,4.173883311858457,2.615029935825584,4.109575445853044,4.007061422617358
5,4.659095369541096,4.003464123282569,2.7105016230278087,4.160810302174878,2.6189830124139135,4.109575445853044,4.007061422617358
6,4.6567441477366485,4.003464123282569,2.7162449180883588,4.225101060166928,2.61317140501456,4.109575445853044,4.007061422617358
7,4.657603314521883,4.003464123282569,2.70562837862408,4.186118821370917,2.621523090108379,4.109575445853044,4.007061422617358
8,4.6588827472080565,4.003464123282569,2.756875726328492,4.180386567951315,2.6006710601573158,4.109575445853044,4.007061422617358
9,4.659045315635414,4.003464123282569,2.7018004395255453,4.201906183660337,2.5996609650716564,4.109575445853044,4.007061422617358
